Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.22033913246518214,-0.9637629077450433,0.10339146541738664,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.3810121893986974,1.1025357153736304,-0.502700329128394,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.3096951606465318,0.8167263311292724,-0.40989902491181207,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.307358909479284,0.8165121638516014,-0.4099110239225072,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.34394611923574864,1.443828078345671,-0.6270386712752548,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3819067222674179,1.1024931518140382,-0.5026600595391486,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.1812893749545538,-1.0197648216605948,-0.027526602149610984,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.31923207692808764,1.272351119988732,-0.09778761138682507,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.31964851001535916,1.0451381165966942,-0.633919118600731,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.34343969741470765,1.0465411138861684,-0.6335741192304756,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.34187519123358845,1.046499401886011,-0.6336112833312898,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.2100332245714522,1.3503176294220085,-0.2930106626710365,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.22048946318637558,-0.9637626067342615,0.1033960981256741,3,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.31786959837249384,0.8178509728098908,-0.1340201997737233,0,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.1860129353626114,-2.3059954518554804,-0.39634367607110005,3,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.38264688007187075,1.1025563146099457,-0.5026549153281551,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.34264219453242617,1.0465078680974813,-0.6335896316007695,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.3019781197440298,-2.2598336418872105,0.5009170233434728,3,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.3111352173789503,0.8168690185371801,-0.4098946861691096,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14863735704338013,-1.2494601041134075,0.1961485622897096,3,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.38316322527704333,1.102589921486027,-0.5026483319763848,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.3436292274097121,1.046557664372209,-0.6335729098177945,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.09871976778617178,-1.8129417355608546,0.4634920636474689,3,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3437862381170106,1.0465725326457516,-0.6335722394157168,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.17844998913990884,-1.019908688256041,-0.0275745284440943,3,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.28912179690854095,0.7623081166731439,-0.2647463584385316,0,BitCurrency
